CEO Name,Company,GVKEY,EXECID,YEAR,input_company_name
Arthur Frederick Ryan,PRUDENTIAL FINANCIAL INC,143356,1367,2007,prudential financial
William D. Green,ACCENTURE PLC,143357,23074,2007,accenture plc
J. Michael Parks,ALLIANCE DATA SYSTEMS CORP,143974,29619,2007,alliance data systems
Dominic J. Casserley,WILLIS TOWERS WATSON PLC,144009,48512,2013,willis towers watson plc
Clayton M. Jones,ROCKWELL COLLINS,144066,17968,2007,rockwell collins
David C. Dvorak,ZIMMER BIOMET HOLDINGS INC,144559,13655,2007,zimmer biomet holdings
Angela Rose Fick Braly,ANTHEM INC,145046,32716,2007,anthem inc
R. Richard Fontaine,GAMESTOP CORP,145049,28732,2007,gamestop corp
Michael Frederic Neidorff,CENTENE CORP,145552,34400,2007,centene corp
John Barry Griswell,PRINCIPAL FINANCIAL GRP INC,145701,25293,2007,principal financial grp
John C. Brouillard,ADVANCE AUTO PARTS INC,145977,32731,2007,advance auto parts
Vernon J. Nagel,ACUITY BRANDS INC,146017,11057,2007,acuity brands
Martin L. Orlowsky,LORILLARD INC,147175,34236,2007,lorillard inc
"Wilmot Reed Hastings, Jr.",NETFLIX INC,147579,31461,2007,netflix inc
Walter Nicholas Howley,TRANSDIGM GROUP INC,148349,49893,2007,transdigm group
Craig Steven Donohue,CME GROUP INC,149070,27722,2007,cme group
Stephen A. Wynn,WYNN RESORTS LTD,149318,643,2007,wynn resorts
Robert Greifeld,NASDAQ INC,149337,21017,2007,nasdaq inc
Jeffrey M. Peek,CIT GROUP INC,149738,16244,2007,cit group
F. H. Merelli,CIMAREX ENERGY CO,150699,21484,2007,cimarex energy
William D. Watkins,SEAGATE TECHNOLOGY PLC,150937,15840,2007,seagate technology plc
Charles B. Stanley,QEP RESOURCES INC,154357,24878,2007,qep resources
Joseph M. Holsten,LKQ CORP,155394,12579,2007,lkq corp
Robert Brian Pollock,ASSURANT INC,157057,31140,2007,assurant inc
Marc R. Benioff,SALESFORCE.COM INC,157855,35712,2007,salesforce.com
Michael Desmond Fraizer,GENWORTH FINANCIAL INC,158354,29595,2007,genworth financial
Richard Mitchell McVey,MARKETAXESS HOLDINGS INC,158742,43625,2007,marketaxess holdings
Robert W. Selander,MASTERCARD INC,160225,34061,2007,mastercard inc
Christopher B. Begley,HOSPIRA INC,160255,23052,2007,hospira inc
Roger D. Linquist,METROPCS COMMUNICATIONS INC,160256,36123,2007,metropcs communications
Eric E. Schmidt,ALPHABET INC,160329,14164,2007,alphabet inc
Kenneth M. Woolley,EXTRA SPACE STORAGE INC,160479,33031,2007,extra space storage
Arthur William Stein,DIGITAL REALTY TRUST INC,160991,49787,2007,digital realty trust
James T. Prokopanko,MOSAIC CO,162129,42304,2007,mosaic co
David N. Weidman,CELANESE CORP,162254,55721,2007,celanese corp
Michael J. Quillen,ALPHA NATURAL RESOURCES INC,162448,9560,2007,alpha natural resources
Scott C. Key,IHS MARKIT LTD,162906,51672,2009,ihs markit
Jeffrey C. Sprecher,INTERCONTINENTAL EXCHANGE,163610,33111,2007,intercontinental exchange
Stephen R. Wilson,CF INDUSTRIES HOLDINGS INC,163946,32904,2007,cf industries holdings
"John C. Malone, Ph.D.",DISCOVERY INC,164296,921,2007,discovery inc
James M. Cracchiolo,AMERIPRISE FINANCIAL INC,164708,20871,2007,ameriprise financial
Kevin A. Plank,UNDER ARMOUR INC,165052,34354,2007,under armour
Kenneth C. Dahlberg,LEIDOS HOLDINGS INC,165123,23127,2007,leidos holdings
Philippe P. Dauman,VIACOM INC,165675,6035,2007,viacom inc
M. Steven Ells,CHIPOTLE MEXICAN GRILL INC,165914,34304,2007,chipotle mexican grill
Lee A. Kennedy,FIDELITY NATIONAL INFO SVCS,165993,14525,2007,fidelity national info svcs
John Alexander Thain,NYSE EURONEXT,166451,18341,2007,nyse euronext
Mark Elliot Zuckerberg,FACEBOOK INC,170617,45313,2011,facebook inc
Travis D. Stice,DIAMONDBACK ENERGY INC,170750,55737,2011,diamondback energy
Greg C. Garland,PHILLIPS 66,170841,41249,2012,phillips 66
Richard A. Smith,REALOGY HOLDINGS CORP,174022,52987,2009,realogy holdings
Daniel R. Hesse,EMBARQ CORP,174130,29161,2007,embarq corp
Jeffery R. Gardner,WINDSTREAM HOLDINGS INC,174490,27472,2007,windstream holdings
Stephen P. Holmes,WYNDHAM DESTINATIONS INC,174729,7654,2007,wyndham destinations
Christina Albehdina Gold,WESTERN UNION CO,175263,5947,2007,western union
Richard A. Noll,HANESBRANDS INC,175319,27203,2007,hanesbrands inc
Michael J. Ahearn,FIRST SOLAR INC,175404,36549,2007,first solar
Valentin P. Gapontsev,IPG PHOTONICS CORP,175955,46801,2007,ipg photonics
Fred J. Fowler,SPECTRA ENERGY CORP,176282,12582,2007,spectra energy
Glenn Alan Britt,TIME WARNER CABLE INC,176404,35664,2007,time warner cable
Richard J. Daly,BROADRIDGE FINANCIAL SOLUTNS,176928,15963,2007,broadridge financial solutns
Richard J. Meelia,COVIDIEN PLC,177264,12153,2007,covidien plc
Thomas J. Lynch,TE CONNECTIVITY LTD,177267,24546,2007,te connectivity
David W. Nelms,DISCOVER FINANCIAL SVCS,177376,34228,2007,discover financial svcs
Timothy A. Leach,CONCHO RESOURCES INC,177884,11544,2007,concho resources
Michael F. Koehler,TERADATA CORP,178310,25949,2007,teradata corp
Henry A. Fernandez,MSCI INC,178507,37930,2007,msci inc
Lyn Kirby,ULTA BEAUTY INC,178704,49560,2007,ulta beauty
"Donald L. Correll, CPA, CPA",AMERICAN WATER WORKS CO INC,179437,12905,2007,american water works
Joseph W. Saunders,VISA INC,179534,2502,2007,visa inc
"Louis C. Camilleri, BA",PHILIP MORRIS INTERNATIONAL,179621,14417,2007,philip morris international
Gilbert M. Cassagne,DR PEPPER SNAPPLE GROUP INC,179700,34815,2007,dr pepper snapple group
Kenneth W. Lowe,SCRIPPS NETWORKS INTERACTIVE,180167,21126,2007,scripps networks interactive
Robert A. Kotick,ACTIVISION BLIZZARD INC,180405,22978,2008,activision blizzard
Frank J. Coyne,VERISK ANALYTICS INC,180652,48323,2007,verisk analytics
Hock E. Tan,BROADCOM INC,180711,10075,2007,broadcom inc
Stephen W. Golsby,MEAD JOHNSON NUTRITION CO,180833,37954,2007,mead johnson nutrition
"David L. Schlotterbeck, B.S., M.S.",CAREFUSION CORP,183257,4074,2008,carefusion corp
Ken Xie,FORTINET INC,183377,45673,2008,fortinet inc
William J. Brodsky,CBOE GLOBAL MARKETS INC,184500,42379,2007,cboe global markets
Ronald F. Clarke,FLEETCOR TECHNOLOGIES INC,184700,55636,2009,fleetcor technologies
"Sanjay K. Jha, Ph.D., B.E.",MOTOROLA MOBILITY HLDGS INC,186106,25842,2008,motorola mobility hldgs
C. Michael Petters,HUNTINGTON INGALLS IND INC,186310,19390,2008,huntington ingalls ind
Gary R. Heminger,MARATHON PETROLEUM CORP,186989,29019,2008,marathon petroleum
Ralph A. Hill,WPX ENERGY INC,187128,29765,2008,wpx energy
Christopher J. Klein,FORTUNE BRANDS HOME & SECUR,188255,25978,2008,fortune brands home & secur
Gretchen W. McClain,XYLEM INC,189491,32646,2008,xylem inc
John D. Idol,CAPRI HOLDINGS LTD,198058,45334,2011,capri holdings
Stephen Kaufer,TRIPADVISOR INC,199356,43350,2011,tripadvisor
W. Brett White,CBRE GROUP INC,260774,30552,2007,cbre group
Todd Suhayl Farha,WELLCARE HEALTH PLANS INC,260778,31719,2007,wellcare health plans
James L. Gallogly,LYONDELLBASELL INDUSTRIES NV,294524,31023,2009,lyondellbasell industries nv
David D. Petratis,ALLEGION PLC,316056,34850,2013,allegion plc
Beth A. Wozniak,NVENT ELECTRIC PLC,326688,49088,2016,nvent electric plc
