CEO Name,Company,GVKEY,EXECID,YEAR,input_company_name
Richard K. Davis,U S BANCORP,4723,12469,2007,u s bancorp
Gerald L. Baker,FIRST HORIZON NATIONAL CORP,4737,27602,2007,first horizon national
G. Kennedy Thompson,WACHOVIA CORP,4739,16355,2007,wachovia
Alan Lee Boeckmann,FLUOR CORP,4818,18101,2007,fluor corp
Alan R. Mulally,FORD MOTOR CO,4839,16436,2007,ford motor
Howard Solomon,FOREST LABORATORIES  -CL A,4843,387,2007,forest laboratories 
"Gregory Eugene Johnson, CPA",FRANKLIN RESOURCES INC,4885,20524,2007,franklin resources
"J. Patrick Gallagher, Jr.",ARTHUR J GALLAGHER & CO,4973,8963,2007,arthur j gallagher &
Craig A. Dubow,TEGNA INC,4988,24463,2007,tegna inc
"Glenn K. Murphy, B.A., BA",GAP INC,4990,32632,2007,gap inc
Nicholas D. Chabraja,GENERAL DYNAMICS CORP,5046,2723,2007,general dynamics
Jeffrey R. Immelt,GENERAL ELECTRIC CO,5047,20859,2007,general electric
Kendall J. Powell,GENERAL MILLS INC,5071,28542,2007,general mills
"G. Richard Wagoner, Jr.",GENERAL MOTORS CO,5073,2767,2007,general motors
Michael H. Jordan,ELECTRONIC DATA SYSTEMS CORP,5074,1503,2007,electronic data systems
Thomas C. Gallagher,GENUINE PARTS CO,5125,1259,2007,genuine parts
Marshall O. Larsen,GOODRICH CORP,5229,12402,2007,goodrich corp
Robert J. Keegan,GOODYEAR TIRE & RUBBER CO,5234,18561,2007,goodyear tire & rubber
Richard Lee Keyser,GRAINGER (W W) INC,5256,2276,2007,grainger (w w)
"David John Lesar, CPA",HALLIBURTON CO,5439,12690,2007,halliburton co
Howard L. Lance,L3HARRIS TECHNOLOGIES INC,5492,23068,2007,l3harris technologies
Alfred Joseph Verrecchia,HASBRO INC,5518,1408,2007,hasbro inc
George L. Chapman,WELLTOWER INC,5543,33059,2007,welltower inc
William R. Johnson,KRAFT HEINZ CO,5568,3847,2007,kraft heinz
"Hans Christian Helmerich, III",HELMERICH & PAYNE,5581,462,2007,helmerich & payne
Craig A. Rogerson,HERCULES INC,5589,23410,2007,hercules inc
Richard H. Lenny,HERSHEY CO,5597,16575,2007,hershey co
Mark Vincent Hurd,HP INC,5606,18929,2007,hp inc
Christopher J. Nassetta,HILTON WORLDWIDE HOLDINGS,5643,31068,2012,hilton worldwide holdings
Matthew P. Clifton,HOLLYFRONTIER CORP,5667,34764,2007,hollyfrontier corp
Francis S. Blake,HOME DEPOT INC,5680,24762,2007,home depot
Jeffrey M. Ettinger,HORMEL FOODS CORP,5709,27334,2007,hormel foods
Frits D. van Paasschen,STARWOOD HOTELS&RESORTS WRLD,5723,29791,2007,starwood hotels&resorts wrld
