Company,GVKEY,EXECID
CHURCH & DWIGHT INC,3026,28032
CIRCUIT CITY STORES INC,3054,24785
CINTAS CORP,3062,15654
IHEARTMEDIA INC,3105,12529
CLEVELAND-CLIFFS INC,3107,30339
CLOROX CO/DE,3121,32795
COCA-COLA CO,3144,2047
COLGATE-PALMOLIVE CO,3170,229
AON PLC,3221,29734
COMCAST CORP,3226,233
COMERICA INC,3231,5070
CITIGROUP INC,3243,24398
CA INC,3310,28519
DXC TECHNOLOGY CO,3336,23465
CONAGRA BRANDS INC,3362,24486
CONSOLIDATED EDISON INC,3413,21287
CMS ENERGY CORP,3439,13125
COOPER INDUSTRIES PLC,3497,24438
COOPER COS INC (THE),3504,14292
MOLSON COORS BEVERAGE CO,3505,2140
CORNING INC,3532,18411
COUNTRYWIDE FINANCIAL CORP,3555,9209
CUMMINS INC,3650,2205
DANAHER CORP,3735,13127
TARGET CORP,3813,2235
DEERE & CO,3835,20675
DELTA AIR LINES INC,3851,158
DTE ENERGY CO,3897,1298
ADTALEM GLOBAL EDUCATION INC,3905,25735
DILLARDS INC  -CL A,3964,2332
DISNEY (WALT) CO,3980,1557
DOLLAR GENERAL CORP,4016,27416
DOMINION ENERGY INC,4029,16386
DONNELLEY (R R) & SONS CO,4040,28147
DOVER CORP,4058,24420
DUPONT DE NEMOURS INC,4060,26094
OMNICOM GROUP,4066,6099
DU PONT (E I) DE NEMOURS,4087,12571
DUKE ENERGY CORP,4093,784
DUN & BRADSTREET CORP,4094,23422
FLOWSERVE CORP,4108,21241
PERKINELMER INC,4145,16771
EASTMAN KODAK CO,4194,17977
EATON CORP PLC,4199,2361
ECOLAB INC,4213,23269
EL PASO CORP,4242,19778
EMERSON ELECTRIC CO,4321,20396
WEATHERFORD INTL PLC,4367,15507
ATMOS ENERGY CORP,4383,3774
EQUIFAX INC,4423,29414
EQT CORP,4430,21318
EXPEDITORS INTL WASH INC,4494,11440
EXXON MOBIL CORP,4503,26689
FMC CORP,4510,20951
NEXTERA ENERGY INC,4517,14029
FAMILY DOLLAR STORES,4560,13992
FEDEX CORP,4598,341
FEDERAL NATIONAL MORTGA ASSN,4601,21631
FEDERAL REALTY INVESTMENT TR,4605,33048
MACY'S INC,4611,14904
FIFTH THIRD BANCORP,4640,14277
REGIONS FINANCIAL CORP,4674,9132
M & T BANK CORP,4699,362
U S BANCORP,4723,12469
FIRST HORIZON NATIONAL CORP,4737,27602
WACHOVIA CORP,4739,16355
FLUOR CORP,4818,18101
FORD MOTOR CO,4839,16436
FOREST LABORATORIES  -CL A,4843,387
FRANKLIN RESOURCES INC,4885,20524
ARTHUR J GALLAGHER & CO,4973,8963
TEGNA INC,4988,24463
GAP INC,4990,32632
GENERAL DYNAMICS CORP,5046,2723
GENERAL ELECTRIC CO,5047,20859
GENERAL MILLS INC,5071,28542
GENERAL MOTORS CO,5073,2767
ELECTRONIC DATA SYSTEMS CORP,5074,1503
GENUINE PARTS CO,5125,1259
GOODRICH CORP,5229,12402
GOODYEAR TIRE & RUBBER CO,5234,18561
GRAINGER (W W) INC,5256,2276
HALLIBURTON CO,5439,12690
L3HARRIS TECHNOLOGIES INC,5492,23068
HASBRO INC,5518,1408
WELLTOWER INC,5543,33059
KRAFT HEINZ CO,5568,3847
HELMERICH & PAYNE,5581,462
HERCULES INC,5589,23410
HERSHEY CO,5597,16575
HP INC,5606,18929
HILTON WORLDWIDE HOLDINGS,5643,31068
HOLLYFRONTIER CORP,5667,34764
HOME DEPOT INC,5680,24762
HORMEL FOODS CORP,5709,27334
STARWOOD HOTELS&RESORTS WRLD,5723,29791
CENTERPOINT ENERGY INC,5742,10794
HUNT (JB) TRANSPRT SVCS INC,5783,482
HUNTINGTON BANCSHARES,5786,2426
ITT INC,5860,26006
ILLINOIS TOOL WORKS,5878,14539
TRANE TECHNOLOGIES PLC,5959,14373
INTEL CORP,6008,14770
INTL BUSINESS MACHINES CORP,6066,16485
INTL FLAVORS & FRAGRANCES,6078,23216
INTL GAME TECHNOLOGY,6097,16031
INTL PAPER CO,6104,23217
INTERPUBLIC GROUP OF COS,6136,20069
JACOBS ENGINEERING GROUP INC,6216,8568
JOHNSON & JOHNSON,6266,18551
JOHNSON CONTROLS INTL PLC,6268,1472
KLA CORP,6304,25626
SEARS HOLDINGS CORP,6307,24544
KINDER MORGAN INC,6310,1547
KANSAS CITY SOUTHERN,6335,10904
EVERGY INC,6338,19896
KELLOGG CO,6375,23139
KIMBERLY-CLARK CORP,6435,5780
KROGER CO,6502,2771
LSI CORP,6529,29613
LAM RESEARCH CORP,6565,18574
LEGGETT & PLATT INC,6649,4967
LEGG MASON INC,6653,9311
LENNAR CORP,6669,10425
JEFFERIES FINANCIAL GRP INC,6682,549
LILLY (ELI) & CO,6730,2773
L BRANDS INC,6733,555
LINCOLN NATIONAL CORP,6742,2782
KATE SPADE & CO,6768,30991
LOCKHEED MARTIN CORP,6774,20910
LOEWS CORP,6781,993
RANGE RESOURCES CORP,6788,33712
LOWE'S COS INC,6829,26697
MANITOWOC CO,6994,19477
MARATHON OIL CORP,7017,14406
HOST HOTELS & RESORTS INC,7063,31068
MARSH & MCLENNAN COS,7065,16317
MARSHALL & ILSLEY CORP,7067,23111
MASCO CORP,7085,17656
MATTEL INC,7116,18517
MCCORMICK & CO INC,7146,6020
MCDONALD'S CORP,7154,14881
S&P GLOBAL INC,7163,1280
MCKESSON CORP,7171,13522
MEDCO HEALTH SOLUTIONS INC,7186,12761
MEDTRONIC PLC,7228,25312
CVS HEALTH CORP,7241,13499
MERCK & CO,7257,28108
MEREDITH CORP,7260,17849
MERRILL LYNCH & CO INC,7267,14272
MICRON TECHNOLOGY INC,7343,5088
ENTERGY CORP,7366,3091
MILLIPORE CORP,7409,29299
3M CO,7435,16459
MOLEX INC,7506,15971
MOTOROLA SOLUTIONS INC,7585,3309
MURPHY OIL CORP,7620,5134
MYLAN NV,7637,24999
BANK OF AMERICA CORP,7647,3028
NCR CORP,7648,26171
NATIONAL CITY CORP,7711,24503
TENET HEALTHCARE CORP,7750,11923
NATIONAL SEMICONDUCTOR CORP,7772,4995
NEW YORK TIMES CO  -CL A,7866,16305
NEWELL BRANDS INC,7875,25702
NEWMONT CORP,7881,14677
NICOR INC,7904,23247
NIKE INC  -CL B,7906,3048
NOBLE ENERGY INC,7912,14597
NORDSTROM INC,7922,16693
NORFOLK SOUTHERN CORP,7923,21199
EVERSOURCE ENERGY,7970,5700
NISOURCE INC,7974,13173
XCEL ENERGY INC,7977,4729
NORTHERN TRUST CORP,7982,4228
NORTHROP GRUMMAN CORP,7985,16364
TEREX CORP,7991,31033
WELLS FARGO & CO,8007,1328
NUCOR CORP,8030,5896
OCCIDENTAL PETROLEUM CORP,8068,702
FIRSTENERGY CORP,8099,3342
ONEOK INC,8151,23533
O-I GLASS INC,8215,16286
PNC FINANCIAL SVCS GROUP INC,8245,1311
PPG INDUSTRIES INC,8247,16311
PACCAR INC,8253,3437
PG&E CORP,8264,20327
SEMPRA ENERGY,8272,1998
PALL CORP,8304,3500
PARKER-HANNIFIN CORP,8358,23195
PAYCHEX INC,8402,28725
PENNEY (J C) CO,8446,28166
PPL CORP,8455,24442
PENTAIR PLC,8463,18547
PEPSICO INC,8479,18812
APPLIED BIOSYSTEMS INC,8488,1555
PFIZER INC,8530,14882
EXELON CORP,8539,675
ALTRIA GROUP INC,8543,14417
CONOCOPHILLIPS,8549,5960
PVH CORP,8551,19333
PITNEY BOWES INC,8606,16723
PEPCO HOLDINGS INC,8694,4704
PRECISION CASTPARTS CORP,8717,4714
PROCTER & GAMBLE CO,8762,15843
PUBLIC SERVICE ENTRP GRP INC,8810,28439
PULTEGROUP INC,8823,24550
QUESTAR CORP,8873,23492
RAYMOND JAMES FINANCIAL CORP,8898,8606
RAYTHEON CO,8972,3114
AUTONATION INC,9063,20766
ROCKWELL AUTOMATION,9203,17969
ROHM AND HAAS CO,9217,14628
ROLLINS INC,9225,4889
ROSS STORES INC,9248,7208
ROWAN COMPANIES PLC,9258,3175
RYDER SYSTEM INC,9299,12393
SAFECO CORP,9351,27829
SAFEWAY INC,9359,826
ST JUDE MEDICAL INC,9372,14772
HILLSHIRE BRANDS CO,9411,28782
SCANA CORP,9445,4138
SCHERING-PLOUGH,9459,2172
SCHLUMBERGER LTD,9465,16308
SEALED AIR CORP,9555,4217
SHERWIN-WILLIAMS CO,9667,14331
SIGMA-ALDRICH CORP,9699,23291
SMITH (A.O.),9771,11669
SMITH INTERNATIONAL INC,9772,4311
SMUCKER (JM) CO,9777,4330
SNAP-ON INC,9778,472
KEYCORP,9783,3725
EDISON INTERNATIONAL,9846,833
SOUTHERN CO,9850,19239
SOUTHWEST AIRLINES,9882,19108
AT&T INC,9899,27541
SOUTHWESTERN ENERGY CO,9904,14888
STANLEY BLACK & DECKER INC,10016,12485
STATE STREET CORP,10035,14316
PUBLIC STORAGE,10096,26652
STRYKER CORP,10115,25904
NAVIENT CORP,10121,29627
SUNOCO INC,10156,12913
SUNTRUST BANKS INC,10187,5291
SUPERVALU INC,10190,3330
SYSCO CORP,10247,13949
TECO ENERGY INC,10277,27640
RS LEGACY CORP,10332,1772
ALLEGHENY TECHNOLOGIES INC,10405,16265
TELEFLEX INC,10407,23463
TELLABS INC,10420,27664
TEMPLE-INLAND INC,10426,3424
TERADYNE INC,10453,14965
ANDEAVOR,10466,33938
TEXAS INSTRUMENTS INC,10499,14274
ENERGY FUTURE HOLDINGS CORP,10507,18930
TEXTRON INC,10519,1561
THERMO FISHER SCIENTIFIC INC,10530,21489
GLOBE LIFE INC,10614,16336
TOTAL SYSTEM SERVICES INC,10631,12464
TRIBUNE MEDIA CO,10726,5957
TYCO INTERNATIONAL PLC,10787,13508
TYSON FOODS INC  -CL A,10793,6153
UNITED AIRLINES HOLDINGS INC,10795,12643
AMEREN CORP,10860,16412
UNION PACIFIC CORP,10867,20835
UDR INC,10894,24862
UNITEDHEALTH GROUP INC,10903,16998
UNITED PARCEL SERVICE INC,10920,21067
UST INC,10974,20959
RAYTHEON TECHNOLOGIES CORP,10983,1180
SPRINT CORP,10984,10525
UNIVERSAL HEALTH SVCS INC,11032,8337
VF CORP,11060,1508
VARIAN MEDICAL SYSTEMS INC,11115,18195
VORNADO REALTY TRUST,11220,28686
VULCAN MATERIALS CO,11228,11011
WALMART INC,11259,15154
WALGREENS BOOTS ALLIANCE INC,11264,24162
GRAHAM HOLDINGS CO,11300,1018
WENDY'S INTERNATIONAL INC,11366,23137
WESTERN DIGITAL CORP,11399,20185
MEADWESTVACO CORP,11446,1471
WEYERHAEUSER CO,11456,1396
WHIRLPOOL CORP,11465,14379
WILLIAMS COS INC,11506,23887
WEC ENERGY GROUP INC,11550,24664
ALLIANT ENERGY CORP,11554,5256
INTEGRYS HOLDING INC,11555,22947
FOOT LOCKER INC,11584,22257
WRIGLEY (WM) JR CO,11609,28545
XEROX HOLDINGS CORP,11636,19242
TJX COS INC (THE),11672,21481
ZIONS BANCORPORATION NA,11687,7587
HENRY (JACK) & ASSOCIATES,11811,25643
BEAR STEARNS COMPANIES INC,11818,114
TRUIST FINANCIAL CORP,11856,113
NOVELL INC,11910,27456
ANADARKO PETROLEUM CORP,11923,12580
NOBLE CORP PLC,11925,8997
EMC CORP/MA,12053,20887
BIG LOTS INC,12123,29775
MORGAN STANLEY,12124,3922
SUN MICROSYSTEMS INC,12136,27199
PRICE (T. ROWE) GROUP,12138,12403
MICROSOFT CORP,12141,2967
ORACLE CORP,12142,717
COTY INC,12151,50017
DIRECTV,12206,28337
LINEAR TECHNOLOGY CORP,12216,6212
GENZYME CORP,12233,419
HEALTH MANAGEMENT ASSOC,12338,21801
HARLEY-DAVIDSON INC,12389,4549
GARTNER INC,12441,22558
ALTICE USA INC,12485,40630
ADOBE INC,12540,16349
FISERV INC,12635,23954
KB HOME,12689,18244
UNUM GROUP,12726,6282
COCA-COLA EUROPEAN PARTNERS,12756,30869
HARMAN INTERNATIONAL INDS,12788,14309
CERNER CORP,12850,6625
COMVERSE TECHNOLOGY INC,12884,13017
TWENTY-FIRST CENTURY FOX INC,12886,30312
AIRGAS INC,12950,11839
KRAFT FOODS GROUP INC,12978,41468
JOY GLOBAL INC,13003,13201
SYNOVUS FINANCIAL CORP,13041,12506
HEALTHPEAK PROPERTIES INC,13125,33985
PROGRESSIVE CORP-OHIO,13341,12511
BARR PHARMACEUTICALS INC,13365,15878
CADENCE DESIGN SYSTEMS INC,13421,27937
LEVEL 3 COMMUNICATIONS INC,13440,630
CARNIVAL CORPORATION & PLC,13498,174
DUKE REALTY CORP,13510,24489
MBIA INC,13561,3343
CELGENE CORP,13599,35699
ABIOMED INC,13619,43706
TIFFANY & CO,13646,5597
DENTSPLY SIRONA INC,13700,21109
VIACOMCBS INC,13714,14541
ZOETIS INC,13721,44952
SCHWAB (CHARLES) CORP,13988,839
FASTENAL CO,14225,14812
MAXIM INTEGRATED PRODUCTS,14256,8267
FIRST REPUBLIC BANK,14275,34934
AMPHENOL CORP,14282,34216
ALTERA CORP,14324,14808
PIONEER NATURAL RESOURCES CO,14359,736
MGM RESORTS INTERNATIONAL,14418,4766
ADT CORP,14438,32380
WASTE MANAGEMENT INC,14477,26530
DELL TECHNOLOGIES INC,14489,281
EW SCRIPPS  -CL A,14535,21126
FREEPORT-MCMORAN INC,14590,1684
NOVELLUS SYSTEMS INC,14623,3408
OFFICE DEPOT INC,14624,22758
BMC SOFTWARE INC,14650,15584
CINCINNATI FINANCIAL CORP,14824,1368
DEVON ENERGY CORP,14934,8651
LABORATORY CP OF AMER HLDGS,14960,29709
FEDERAL HOME LOAN MORTG CORP,15208,19288
VALERO ENERGY CORP,15247,5447
SIGNET JEWELERS LTD,15520,42216
STAPLES INC,15521,10628
ALLERGAN INC,15708,16461
PLUM CREEK TIMBER CO INC,15709,22941
NORTONLIFELOCK INC,15855,19772
ABBVIE INC,16101,18569
WASHINGTON MUTUAL INC,16243,1017
PEOPLE'S UNITED FINL INC,16245,34773
EOG RESOURCES INC,16478,1440
ELECTRONIC ARTS INC,16721,15533
COMMERCE BANCORP INC/NJ,16784,17629
SVB FINANCIAL GROUP,17120,15518
SANTANDER HOLDINGS USA INC,17130,21274
IQVIA HOLDINGS INC,17928,51778
NEWS CORP,18043,44957
MALLINCKRODT PLC,18086,43816
PTC INC,18699,4402
TWITTER INC,18872,55347
KEYSIGHT TECHNOLOGIES INC,20232,34854
CAESARS ENTERTAINMENT CORP,20423,16582
CABOT OIL & GAS CORP,20548,10901
DENBURY RESOURCES INC,20653,28586
SYNCHRONY FINANCIAL,20686,48391
ARISTA NETWORKS INC,20748,55474
CISCO SYSTEMS INC,20779,1417
HOLOGIC INC,20904,22966
CITIZENS FINANCIAL GROUP INC,21825,48750
ALLIED WASTE INDUSTRIES INC,22140,23101
HCA HEALTHCARE INC,22260,16863
XILINX INC,22325,2526
BAXALTA INC,22734,40792
BJ SERVICES CO,22794,4101
AUTOZONE INC,23809,28867
REGENERON PHARMACEUTICALS,23812,9752
COLUMBIA PIPELINE GROUP INC,23827,13173
COVENTRY HEALTH CARE INC,23877,15416
PMC-SIERRA INC,23943,22448
CEPHALON INC,23945,7608
UNITED STATES STEEL CORP,23978,23062
JONES GROUP INC,24032,24758
IDEXX LABS INC,24197,21002
AES CORP (THE),24216,20985
AMBAC FINANCIAL GROUP INC,24287,13207
MONSTER BEVERAGE CORP,24316,28838
XL GROUP LTD,24318,22444
VERTEX PHARMACEUTICALS INC,24344,7518
MGIC INVESTMENT CORP/WI,24379,10623
BIOGEN INC,24468,13278
PAYPAL HOLDINGS INC,24616,22147
KIMCO REALTY CORP,24731,533
PERRIGO CO PLC,24782,24736
QUALCOMM INC,24800,22816
GILEAD SCIENCES INC,24856,17643
WHOLE FOODS MARKET INC,24893,7530
ROPER TECHNOLOGIES INC,24925,14340
SYNOPSYS INC,24975,14024
TIME WARNER INC,25056,1873
MOHAWK INDUSTRIES INC,25119,8449
LINDE PLC,25124,23103
FIRST DATA CORP,25157,361
BOSTON SCIENTIFIC CORP,25279,1160
KOHL'S CORP,25283,5361
BED BATH & BEYOND INC,25338,13517
D R HORTON INC,25340,14264
EXPRESS SCRIPTS HOLDING CO,25356,11797
STARBUCKS CORP,25434,25850
DYNEGY INC,25495,24764
MCAFEE INC,25783,30958
PATTERSON COS INC,25880,8591
COMPUWARE CORP,26011,241
IAC/INTERACTIVECORP,26061,795
HEWLETT PACKARD ENTERPRISE,26156,5706
CSRA INC,26304,34058
FOUR CORNERS PROPERTY TR INC,26410,48411
FORTIVE CORP,26590,31086
VERSUM MATERIALS INC,26709,48327
INGEVITY CORP,27119,12114
ADIENT PLC,27333,30588
SITE CENTERS CORP,27780,29720
CHESAPEAKE ENERGY CORP,27786,29794
QUALITY CARE PROPERTIES INC,27800,36322
ALLERGAN PLC,27845,8329
HUMANA INC,27914,14655
INTUIT INC,27928,20241
MICROCHIP TECHNOLOGY INC,27965,7634
CHUBB LTD,28034,14586
ADVANSIX INC,28070,50091
FOSSIL GROUP INC,28118,17832
BROOKFIELD PROPERTY REIT,28119,33907
SANMINA CORP,28139,8095
O'REILLY AUTOMOTIVE INC,28180,19277
ROYAL CARIBBEAN CRUISES LTD,28191,46764
HOWMET AEROSPACE INC,28192,1510
JABIL INC,28195,17770
XTO ENERGY INC,28256,9466
TRANSOCEAN LTD,28338,9601
ALLSTATE CORP,28349,10669
FLIR SYSTEMS INC,28477,16819
PETSMART INC,28648,26822
EQUITY RESIDENTIAL,28733,21144
BORGWARNER INC,28742,19392
LAMB WESTON HOLDINGS INC,28790,49931
KEURIG DR PEPPER INC,28877,34013
MARRIOTT INTL INC,28930,588
VAREX IMAGING CORP,29004,46716
COSTCO WHOLESALE CORP,29028,1486
REGENCY CENTERS CORP,29099,28670
INCYTE CORP,29127,23532
URBAN OUTFITTERS INC,29150,34360
CARS.COM INC,29155,51658
NEWFIELD EXPLORATION CO,29173,16621
VIAVI SOLUTIONS INC,29241,25510
SIMON PROPERTY GROUP INC,29389,24716
EASTMAN CHEMICAL CO,29392,21019
MID-AMERICA APT CMNTYS INC,29649,30246
MARTIN MARIETTA MATERIALS,29733,13778
TRACTOR SUPPLY CO,29736,25034
ALBEMARLE CORP,29751,18845
QLOGIC CORP,29791,17772
INVESCO LTD,29804,4457
BIOVERATIV INC,29819,43232
WESTROCK CO,29830,5863
MACERICH CO,29868,28613
AVALONBAY COMMUNITIES INC,29875,27796
COPART INC,29901,17945
AK STEEL HOLDING CORP,29968,21310
PROLOGIS INC,29984,26150
LEHMAN BROTHERS HOLDINGS INC,30128,14194
NEKTAR THERAPEUTICS,30137,48100
ESSEX PROPERTY TRUST,30293,26552
APARTMENT INVST & MGMT CO,30490,24516
AFFILIATED COMPUTER SERVICES,30697,21016
REALTY INCOME CORP,30822,33446
TECHNIPFMC PLC,30923,28425
CAPITAL ONE FINANCIAL CORP,30990,14453
APOLLO EDUCATION GROUP INC,31122,31241
DOLLAR TREE INC,31587,19397
AMERISOURCEBERGEN CORP,31673,20354
BRIGHTHOUSE FINANL INC,31774,43020
DELPHI TECHNOLOGIES PLC,31802,48814
DARDEN RESTAURANTS INC,31846,19771
RESMED INC,31887,18079
BAKER HUGHES CO,32106,55154
JBG SMITH PPTYS,32154,55158
CHAMPIONX CORP,33326,48999
PERSPECTA INC,33439,57278
DOW INC,34443,44157
FOX CORP,34636,50022
COVETRUS INC,34765,58355
KONTOOR BRANDS INC,35035,42687
CORTEVA INC,35168,48584
CAMERON INTERNATIONAL CORP,60894,19925
DISH NETWORK CORP,60900,18919
WABTEC CORP,60979,13399
SUNEDISON INC,60992,20248
EVEREST RE GROUP LTD,61388,1877
DIAMOND OFFSHRE DRILLING INC,61409,993
DAVITA INC,61483,7568
QWEST COMMUNICATION INTL INC,61489,20844
HENRY SCHEIN INC,61494,22703
SANDISK CORP,61513,18853
LEXMARK INTL INC  -CL A,61552,13595
LAUDER (ESTEE) COS INC -CL A,61567,17879
WATERS CORP,61574,2978
NETAPP INC,61591,7045
CITRIX SYSTEMS INC,61676,16171
HARTFORD FINANCIAL SERVICES,61739,12661
ALEXION PHARMACEUTICALS INC,62263,43395
IRON MOUNTAIN INC,62374,26792
ALTABA INC,62634,32860
DEAN FOODS CO,62655,16050
TRAVELERS COS INC,62689,12698
TITANIUM METALS CORP,62984,34251
ANSYS INC,63080,26216
E TRADE FINANCIAL CORP,63501,20394
STERICYCLE INC,63527,25162
ABERCROMBIE & FITCH  -CL A,63643,15883
ENDO INTERNATIONAL PLC,63645,33731
UNIVISION COMMUNICATIONS INC,63669,34103
IMS HEALTH HOLDINGS INC,63800,26041
NATIONAL OILWELL VARCO INC,63892,20342
MONSTER WORLDWIDE INC,64156,29355
QUEST DIAGNOSTICS INC,64166,19669
CIENA CORP,64356,18355
CARMAX INC,64410,34299
TAKE-TWO INTERACTIVE SFTWR,64630,32444
AMAZON.COM INC,64768,15055
ALEXANDRIA R E EQUITIES INC,64821,32750
QORVO INC,64853,22024
RALPH LAUREN CORP,64891,28653
BOSTON PROPERTIES INC,64925,26154
SL GREEN REALTY CORP,65290,37591
AMERICAN CAPITAL LTD,65345,34022
YUM BRANDS INC,65417,14669
C H ROBINSON WORLDWIDE INC,65609,19034
METTLER-TOLEDO INTL INC,65772,17420
AFFILIATED MANAGERS GRP INC,65886,32736
ENVISION HEALTHCARE CORP,65967,26729
UNITED RENTALS INC,66065,26766
VERISIGN INC,66368,33564
QUANTA SERVICES INC,66446,19687
BROADCOM CORP,66708,29049
FEDERATED HERMES INC,66731,21148
AMCOR PLC,100243,57336
NIELSEN HOLDINGS PLC,100873,45058
NORWEGIAN CRUISE LINE HLDGS,104432,24595
AMERICAN TOWER CORP,105365,32778
VENTAS INC,110179,36129
L3 TECHNOLOGIES INC,110685,19157
COGNIZANT TECH SOLUTIONS,111864,26787
KING PHARMACEUTICALS INC,112033,28307
REPUBLIC SERVICES INC,112168,22799
CONVERGYS CORP,113419,16893
CROWN CASTLE INTL CORP,113490,42359
EBAY INC,114524,5706
GOLDMAN SACHS GROUP INC,114628,24365
NVIDIA CORP,117768,19583
APTIV PLC,118122,19028
LIFE TECHNOLOGIES CORP,118577,34325
BOOKING HOLDINGS INC,119314,12759
PEPSI BOTTLING GROUP INC,119417,21139
CNX RESOURCES CORPORATION,120093,30189
REYNOLDS AMERICAN INC,120877,27675
F5 NETWORKS INC,121077,4247
SBA COMMUNICATIONS CORP,121382,51888
JUNIPER NETWORKS INC,121718,7333
HUDSON CITY BANCORP INC,122015,24679
RED HAT INC,122841,36121
BLACKROCK INC,124434,27717
PACTIV CORP,125533,19115
AKAMAI TECHNOLOGIES INC,125595,18624
CHARTER COMMUNICATIONS INC,126136,42456
EXPEDIA GROUP INC,126296,16588
AGILENT TECHNOLOGIES INC,126554,18350
PACKAGING CORP OF AMERICA,128978,10724
EDWARDS LIFESCIENCES CORP,133366,12601
METLIFE INC,133768,20975
FRONTIER COMMUNICATIONS CORP,135484,28242
NRG ENERGY INC,135990,37704
INTUITIVE SURGICAL INC,136725,1370
JANUS CAPITAL GROUP INC,137232,27993
ILLUMINA INC,138205,48495
EQUINIX INC,138743,36529
AVAYA INC,139662,25510
MOODY'S CORP,139665,20106
TAPESTRY INC,140541,21393
MONSANTO CO,140760,23086
ALIGN TECHNOLOGY INC,141384,36420
MASSEY ENERGY CO,141400,2655
GARMIN LTD,141459,43795
GLOBAL PAYMENTS INC,141913,20028
PEABODY ENERGY CORP,142460,27824
FMC TECHNOLOGIES INC,142811,26240
MONDELEZ INTERNATIONAL INC,142953,23077
PRUDENTIAL FINANCIAL INC,143356,1367
ACCENTURE PLC,143357,23074
ALLIANCE DATA SYSTEMS CORP,143974,29619
WILLIS TOWERS WATSON PLC,144009,48512
ROCKWELL COLLINS,144066,17968
ZIMMER BIOMET HOLDINGS INC,144559,13655
ANTHEM INC,145046,32716
GAMESTOP CORP,145049,28732
CENTENE CORP,145552,34400
PRINCIPAL FINANCIAL GRP INC,145701,25293
ADVANCE AUTO PARTS INC,145977,32731
ACUITY BRANDS INC,146017,11057
LORILLARD INC,147175,34236
NETFLIX INC,147579,31461
TRANSDIGM GROUP INC,148349,49893
CME GROUP INC,149070,27722
WYNN RESORTS LTD,149318,643
NASDAQ INC,149337,21017
CIT GROUP INC,149738,16244
CIMAREX ENERGY CO,150699,21484
SEAGATE TECHNOLOGY PLC,150937,15840
QEP RESOURCES INC,154357,24878
LKQ CORP,155394,12579
ASSURANT INC,157057,31140
SALESFORCE.COM INC,157855,35712
GENWORTH FINANCIAL INC,158354,29595
MARKETAXESS HOLDINGS INC,158742,43625
MASTERCARD INC,160225,34061
HOSPIRA INC,160255,23052
METROPCS COMMUNICATIONS INC,160256,36123
ALPHABET INC,160329,14164
EXTRA SPACE STORAGE INC,160479,33031
DIGITAL REALTY TRUST INC,160991,49787
MOSAIC CO,162129,42304
CELANESE CORP,162254,55721
ALPHA NATURAL RESOURCES INC,162448,9560
IHS MARKIT LTD,162906,51672
INTERCONTINENTAL EXCHANGE,163610,33111
